candidate_id,search_date,search_language,source_class,engine_or_method,query_or_url,query_url,result_title,url,access_status,disposition,reason,evidence_strength,retained_source_id
C001,2026-06-19,en,Direct official route data,direct URL/archive,https://julianalps.utmb.world/races/120K,https://julianalps.utmb.world/races/120K,Official 120K race page,https://julianalps.utmb.world/races/120K,archived,official_route,"High-level route truth, not surface taxonomy.",high,S001
C002,2026-06-19,en,Direct official route data,direct URL/archive,https://julianalps.utmb.world/races/120K,https://julianalps.utmb.world/races/120K,Official Next.js track payload,https://julianalps.utmb.world/races/120K,archived,official_payload,Embedded in official page source.,high,S002
C003,2026-06-19,en,Map/OSM/source-tag evidence,direct URL/archive,https://overpass.kumi.systems/api/interpreter,https://overpass.kumi.systems/api/interpreter,OSM highway/path Overpass extract,https://overpass.kumi.systems/api/interpreter,archived,surface_relevant_archived,OSM can be stale; bare highway classes are now capped as inference.,medium,S003
C004,2026-06-19,en,Direct GPX-derived geometry,direct URL/archive,https://res.cloudinary.com/utmb-world/raw/upload/v1765191449/julianalps/2026%20GPX%20FILES/JA_125k_6000_581c090f9f.gpx,https://res.cloudinary.com/utmb-world/raw/upload/v1765191449/julianalps/2026%20GPX%20FILES/JA_125k_6000_581c090f9f.gpx,Official GPX visible button file,https://res.cloudinary.com/utmb-world/raw/upload/v1765191449/julianalps/2026%20GPX%20FILES/JA_125k_6000_581c090f9f.gpx,archived,official_geometry,No local v1 comparison.,high,S004
C005,2026-06-19,en,Direct GPX-derived geometry,direct URL/archive,https://res.cloudinary.com/utmb-world/raw/upload/v1765187602/julianalps/GPX%20FILE%20%2818.9.%29/JA_125k_6000_7f0393c340.gpx,https://res.cloudinary.com/utmb-world/raw/upload/v1765187602/julianalps/GPX%20FILE%20%2818.9.%29/JA_125k_6000_7f0393c340.gpx,Official GPX payload file,https://res.cloudinary.com/utmb-world/raw/upload/v1765187602/julianalps/GPX%20FILE%20%2818.9.%29/JA_125k_6000_7f0393c340.gpx,archived,official_geometry_duplicate,Duplicate official file with different URL.,high,S005
C006,2026-06-19,en,Direct official route data,direct URL/archive,https://julianalps.utmb.world/races-runners/runners/equipment,https://julianalps.utmb.world/races-runners/runners/equipment,Official equipment page,https://julianalps.utmb.world/races-runners/runners/equipment,archived,official_equipment,Equipment list does not classify route surface.,high,S006
C007,2026-06-19,en,Direct official route data,direct URL/archive,https://julianalps.utmb.world/races-runners/runners/drop-bags,https://julianalps.utmb.world/races-runners/runners/drop-bags,Official drop-bags page,https://julianalps.utmb.world/races-runners/runners/drop-bags,archived,logistics_context,Not a surface source.,medium,S007
C008,2026-06-19,en,Direct official route data,direct URL/archive,https://julianalps.utmb.world/races-runners/runners/event-schedule,https://julianalps.utmb.world/races-runners/runners/event-schedule,Official event schedule,https://julianalps.utmb.world/races-runners/runners/event-schedule,archived,official_timing,Schedule can change.,high,S008
C009,2026-06-19,en,Direct official route data,direct URL/archive,https://julianalps.utmb.world/races-runners/runners/regulation,https://julianalps.utmb.world/races-runners/runners/regulation,Official regulations,https://julianalps.utmb.world/races-runners/runners/regulation,archived,official_weather_context,Generic UTMB language.,medium,S009
C010,2026-06-19,en,Direct official route data,direct URL/archive,https://julianalps.utmb.world/races-runners/runners/race-guide,https://julianalps.utmb.world/races-runners/runners/race-guide,Official race guide page,https://julianalps.utmb.world/races-runners/runners/race-guide,archived,future_placeholder,Not retained as surface evidence.,low,S010
C011,2026-06-19,en,Broad official visual context,direct URL/archive,https://julianalps.utmb.world/get-excited/photos,https://julianalps.utmb.world/get-excited/photos,Official photos page,https://julianalps.utmb.world/get-excited/photos,archived,visual_context,Not meter-level proof.,low-medium,S011
C012,2026-06-19,en,Broad official visual context,direct URL/archive,https://julianalps.utmb.world/get-excited/videos,https://julianalps.utmb.world/get-excited/videos,Official video gallery,https://julianalps.utmb.world/get-excited/videos,archived,visual_context,Not frame-audited or kilometer-indexed.,low-medium,S012
C013,2026-06-19,en,Direct official route data,direct URL/archive,https://julianalps.utmb.world/races-runners/runners/faq,https://julianalps.utmb.world/races-runners/runners/faq,Official FAQ,https://julianalps.utmb.world/races-runners/runners/faq,archived,context,Not a surface source.,low-medium,S013
C014,2026-06-19,en,Local trail-guide evidence,direct URL/archive,https://www.hike.uno/mountain/hochstuhl_stol/11/53,https://www.hike.uno/mountain/hochstuhl_stol/11/53,Hike.uno Hochstuhl/Stol overview,https://www.hike.uno/mountain/hochstuhl_stol/11/53,archived,surface_relevant_archived,"Adjacent/named-area evidence, not race-specific.",medium,S014
C015,2026-06-19,en,Local trail-guide evidence,direct URL/archive,https://www.hike.uno/hiking_tour/poljana_zavrsnica_hochstuhl_stol_zirovniska_pot/11/53/3520,https://www.hike.uno/hiking_tour/poljana_zavrsnica_hochstuhl_stol_zirovniska_pot/11/53/3520,Hike.uno Poljana-Završnica to Stol Žirovniška pot,https://www.hike.uno/hiking_tour/poljana_zavrsnica_hochstuhl_stol_zirovniska_pot/11/53/3520,archived,surface_relevant_archived,"Same/adjacent named route, not race-specific every meter.",medium-high,S015
C016,2026-06-19,en,Local trail-guide evidence,direct URL/archive,https://www.hike.uno/hiking_tour/poljana_zavrsnica_hochstuhl_stol_zabreska_pot/11/53/3521,https://www.hike.uno/hiking_tour/poljana_zavrsnica_hochstuhl_stol_zabreska_pot/11/53/3521,Hike.uno Poljana-Završnica to Stol Zabreška pot,https://www.hike.uno/hiking_tour/poljana_zavrsnica_hochstuhl_stol_zabreska_pot/11/53/3521,archived,surface_relevant_archived,Variant evidence only.,medium,S016
C017,2026-06-19,en,General location context,direct URL/archive,https://en.wikipedia.org/wiki/Stol_(Karawanks),https://en.wikipedia.org/wiki/Stol_(Karawanks),Wikipedia Stol (Karawanks),https://en.wikipedia.org/wiki/Stol_(Karawanks),archived,context,Not surface-specific.,low,S017
C018,2026-06-19,en,General location context,direct URL/archive,https://en.wikipedia.org/wiki/Pre%C5%A1eren_Lodge_at_Stol,https://en.wikipedia.org/wiki/Pre%C5%A1eren_Lodge_at_Stol,Wikipedia Prešeren Lodge at Stol,https://en.wikipedia.org/wiki/Pre%C5%A1eren_Lodge_at_Stol,archived,context,Not surface-specific.,low,S018
C019,2026-06-19,en,General location context,direct URL/archive,https://en.wikipedia.org/wiki/Gozd%E2%80%93Martuljek,https://en.wikipedia.org/wiki/Gozd%E2%80%93Martuljek,Wikipedia Gozd-Martuljek,https://en.wikipedia.org/wiki/Gozd%E2%80%93Martuljek,archived,context,Not surface-specific.,low,S019
C020,2026-06-19,en,General location context,direct URL/archive,https://en.wikipedia.org/wiki/Srednji_Vrh%2C_Kranjska_Gora,https://en.wikipedia.org/wiki/Srednji_Vrh%2C_Kranjska_Gora,Wikipedia Srednji Vrh,https://en.wikipedia.org/wiki/Srednji_Vrh%2C_Kranjska_Gora,archived,context,Not surface-specific.,low,S020
C021,2026-06-19,en,Official update watchlist,direct URL/archive,https://julianalps.utmb.world/news,https://julianalps.utmb.world/news,Official news page,https://julianalps.utmb.world/news,archived,context,No retained closure/surface item.,low-medium,S021
C022,2026-06-19,en,Unresolved source attempt,direct URL/archive,https://overpass.kumi.systems/api/interpreter,https://overpass.kumi.systems/api/interpreter,OSM route-relation extraction attempt,https://overpass.kumi.systems/api/interpreter,archived,unresolved_attempt,Not counted as retained evidence.,low,
C023,2026-06-19,en,Map/route data,planned web query,Waymarked Trails Stol Golica Kranjska Gora hiking route,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C024,2026-06-19,en,Map/route data,planned web query,Komoot Julian Alps Trail Run 120K route,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C025,2026-06-19,en,Map/route data,planned web query,Outdooractive Julian Alps Trail Run 120K,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C026,2026-06-19,en,Map/route data,planned web query,AllTrails Babji zob Talež Bled,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C027,2026-06-19,en,Map/route data,planned web query,Wikiloc Julian Alps Trail Run 120 km,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C028,2026-06-19,en,Map/route data,planned web query,Strava Julian Alps Trail Run 120K public activity,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C029,2026-06-19,sl,Local guide,planned web query,Babji zob Talež Kupljenik pot opis,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C030,2026-06-19,sl,Local guide,planned web query,Golica Klek Sedlo Suha Dovje pot,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C031,2026-06-19,en,Written race evidence,planned web query,Julian Alps Trail Run 120K runner report,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C032,2026-06-19,sl,Written race evidence,planned web query,Julian Alps Trail Run 120 km poročilo,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C033,2026-06-19,de,Written race evidence,planned web query,Julian Alps Trail Run 120K Rennbericht,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C034,2026-06-19,it,Written race evidence,planned web query,Julian Alps Trail Run 120K racconto gara,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C035,2026-06-19,en,Conditions,planned web query,Julian Alps Trail Run 2025 route change storm damage,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C036,2026-06-19,sl,Conditions,planned web query,Završnica zapora poti sečnja Stol,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C037,2026-06-19,en,Conditions,planned web query,Kranjska Gora September weather rainfall,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
C038,2026-06-19,en,Visual evidence,planned web query,Mapillary Radovljica Bled Žirovnica Stol Dovje Gozd Martuljek,,PLANNED_QUERY_NOT_A_RESULT,,"planned/logged, not verified as a retained result",planned_not_investigated,Logged as a search gap after adversarial review; not used as evidence.,none,
