source_id,title,url,source_class,record_status,evidence_quality,surface_relevance,sections_supported,key_claims,caveats,raw_path,retrieved_at,content_sha256,claim_provenance
S001,Official 120K race page,https://julianalps.utmb.world/races/120K,Direct official route data,official_route,high,context/logistics/official,all; official route description; distance; start; GPX link,"Official route starts in Radovljica, passes Bled, Stol, Golica/Klek, Mojstrana, Gozd Martuljek/Srednji Vrh, finishes in Kranjska Gora.","High-level route truth, not surface taxonomy.",data/official-120K-page.html,2026-06-19T02:40:27+00:00,a1ecfc8a93fb7dc4f045301da2957b39a4000adb04845bc26f8e30d3c2f7976d,archived raw file
S002,Official Next.js track payload,https://julianalps.utmb.world/races/120K,Direct official route data,official_payload,high,context/logistics/official,all; aid points; difficulty; cutoffs; services,"Payload gives 12 official points, aid services, T2-T4 difficulty, distance 124499 m, gain 5893 m, loss 5572 m.",Embedded in official page source.,data/official-120K-page.html,2026-06-19T02:40:27+00:00,a1ecfc8a93fb7dc4f045301da2957b39a4000adb04845bc26f8e30d3c2f7976d,archived raw file
S003,OSM highway/path Overpass extract,https://overpass.kumi.systems/api/interpreter,Map/OSM/source-tag evidence,surface_relevant_archived,medium,surface,all; highway/surface/tracktype/sac/smoothness tags,Nearest-way matching gives road/path classes and available source tags.,OSM can be stale; bare highway classes are now capped as inference.,data/osm-highway-overpass.json,2026-06-19T02:44:08+00:00,45c611e67e42c8c76354f4f9e3129654388cb2455029ed574dca5508aa135871,archived raw file
S004,Official GPX visible button file,https://res.cloudinary.com/utmb-world/raw/upload/v1765191449/julianalps/2026%20GPX%20FILES/JA_125k_6000_581c090f9f.gpx,Direct GPX-derived geometry,official_geometry,high,context/logistics/official,all; GPX geometry/hash,Visible GPX hash computed during generation.,No local v1 comparison.,data/JA_125k_6000_581c090f9f.gpx,2026-06-19T02:39:06+00:00,971fbad73773809a9c72d09cb18615844956104c680557181e4db13526ed63ff,archived raw file
S005,Official GPX payload file,https://res.cloudinary.com/utmb-world/raw/upload/v1765187602/julianalps/GPX%20FILE%20%2818.9.%29/JA_125k_6000_7f0393c340.gpx,Direct GPX-derived geometry,official_geometry_duplicate,high,context/logistics/official,all; GPX conflict check,Payload GPX hash computed during generation and asserted equal to visible GPX.,Duplicate official file with different URL.,data/JA_125k_6000_7f0393c340.gpx,2026-06-19T02:41:03+00:00,971fbad73773809a9c72d09cb18615844956104c680557181e4db13526ed63ff,archived raw file
S006,Official equipment page,https://julianalps.utmb.world/races-runners/runners/equipment,Direct official route data,official_equipment,high,context/logistics/official,equipment/weather risk,Closed trail shoes with tread outsole and two headlamps are mandatory.,Equipment list does not classify route surface.,data/source-raw/S006.html,2026-06-19T03:17:14+00:00,330aede6ca09c136c85ff92fd48a1b15c944e0baca3fc9b0d84db9b34fb6c1c8,archived raw file
S007,Official drop-bags page,https://julianalps.utmb.world/races-runners/runners/drop-bags,Direct official route data,logistics_context,medium,context/logistics/official,aid planning; Zirovnica bag,120K transition bag logistics for Žirovnica.,Not a surface source.,data/source-raw/S007.html,2026-06-19T03:17:15+00:00,8a8de4bb54b0c65a4105d2210791195bb45f2e2b8ff9f1a144e9e9220a3dfdb3,archived raw file
S008,Official event schedule,https://julianalps.utmb.world/races-runners/runners/event-schedule,Direct official route data,official_timing,high,context/logistics/official,start/night timing,120K starts Friday 18 September 2026 at 21:00 from Radovljica.,Schedule can change.,data/source-raw/S008.html,2026-06-19T03:17:16+00:00,3d084c2617fa3cd0415ca2a63632c5ba66b2b683ec005c70befe1a3b2efaa906,archived raw file
S009,Official regulations,https://julianalps.utmb.world/races-runners/runners/regulation,Direct official route data,official_weather_context,medium,context/logistics/official,mountain autonomy; weather,Regulations warn about mountain weather risk.,Generic UTMB language.,data/source-raw/S009.html,2026-06-19T03:17:18+00:00,3d74fbf89ec118768e8a83173880f0997a46bb52e15072e3c879f99ebf8e724f,archived raw file
S010,Official race guide page,https://julianalps.utmb.world/races-runners/runners/race-guide,Direct official route data,future_placeholder,low,context/logistics/official,guide availability,2026 race guide not yet available as of run date.,Not retained as surface evidence.,data/source-raw/S010.html,2026-06-19T03:17:19+00:00,4a3f96a9017c37f1ad4a27a068f464969de5568d4d10c099db4f214c0309bff4,archived raw file
S011,Official photos page,https://julianalps.utmb.world/get-excited/photos,Broad official visual context,visual_context,low-medium,context/logistics/official,course photo spots; race-day imagery,"Official race-photo context, not geotagged in this artifact.",Not meter-level proof.,data/source-raw/S011.html,2026-06-19T03:17:20+00:00,161ae50277d8801b5469b407f18215b30aa446f593021b05319d9ccd5d8cb3a4,archived raw file
S012,Official video gallery,https://julianalps.utmb.world/get-excited/videos,Broad official visual context,visual_context,low-medium,context/logistics/official,official videos 2021-2025 plus documentary,Official video gallery context and thumbnails.,Not frame-audited or kilometer-indexed.,data/official-videos-page.html,2026-06-19T02:43:02+00:00,3804a915e8e06e207a2709a744f57b86772aefd016b64779a3266b7b180edfae,archived raw file
S013,Official FAQ,https://julianalps.utmb.world/races-runners/runners/faq,Direct official route data,context,low-medium,context/logistics/official,registration/change deadlines,FAQ context for deadlines.,Not a surface source.,data/source-raw/S013.html,2026-06-19T03:17:22+00:00,8ed7cead83a26fe7fd931c166e79e5665a8e9dabd86fb5fb5aafdec3494e1891,archived raw file
S014,Hike.uno Hochstuhl/Stol overview,https://www.hike.uno/mountain/hochstuhl_stol/11/53,Local trail-guide evidence,surface_relevant_archived,medium,surface,Stol; Karawanks ridge,Stol local route/photo overview.,"Adjacent/named-area evidence, not race-specific.",data/source-raw/S014.html,2026-06-19T03:17:23+00:00,4191c9f0407ee0e458d9968c2f16cc6fa74e0342c73430c6bb35ed4447bfcbc2,archived raw file
S015,Hike.uno Poljana-Završnica to Stol Žirovniška pot,https://www.hike.uno/hiking_tour/poljana_zavrsnica_hochstuhl_stol_zirovniska_pot/11/53/3520,Local trail-guide evidence,surface_relevant_archived,medium-high,surface,Žirovnica/Završnica/Stol climb; km 60-78 context,"Describes asphalt, macadam, footpath, meadow, forest, cart track, rough slope, dwarf pines, grass/ridge.","Same/adjacent named route, not race-specific every meter.",data/source-raw/S015.html,2026-06-19T03:17:24+00:00,8ea28115acdec84e4937092e8de6c446833863815d122aaac821800fad7e02d7,archived raw file
S016,Hike.uno Poljana-Završnica to Stol Zabreška pot,https://www.hike.uno/hiking_tour/poljana_zavrsnica_hochstuhl_stol_zabreska_pot/11/53/3521,Local trail-guide evidence,surface_relevant_archived,medium,surface,Stol variant context,Variant path supports terrain types around Stol.,Variant evidence only.,data/source-raw/S016.html,2026-06-19T03:17:25+00:00,2fb4cc138ecd7eafc9b83ed5493d9cfc3ec5107857b3f6e5bade68cdf0db89f1,archived raw file
S017,Wikipedia Stol (Karawanks),https://en.wikipedia.org/wiki/Stol_(Karawanks),General location context,context,low,context/logistics/official,Stol terrain context,General mountain context.,Not surface-specific.,data/source-raw/S017.html,2026-06-19T03:17:25+00:00,c103f33f928bfc1c668c4ab6e79502e5d1faf9ca871f75bf76530c8536089a34,archived raw file
S018,Wikipedia Prešeren Lodge at Stol,https://en.wikipedia.org/wiki/Pre%C5%A1eren_Lodge_at_Stol,General location context,context,low,context/logistics/official,Prešernova koča,General hut context.,Not surface-specific.,data/source-raw/S018.html,2026-06-19T03:17:25+00:00,e911356d208512890901ee8248e796481bc630b0f7344a35f05fd6ffdc615c6c,archived raw file
S019,Wikipedia Gozd-Martuljek,https://en.wikipedia.org/wiki/Gozd%E2%80%93Martuljek,General location context,context,low,context/logistics/official,late race valley/settlement,Settlement context.,Not surface-specific.,data/source-raw/S019.html,2026-06-19T03:17:25+00:00,d245e20dc814972407e25698f0f90e2d19df80af3a3f2893767de9e6dbcc8cc1,archived raw file
S020,Wikipedia Srednji Vrh,https://en.wikipedia.org/wiki/Srednji_Vrh%2C_Kranjska_Gora,General location context,context,low,context/logistics/official,final climb/descent context,Settlement context.,Not surface-specific.,data/source-raw/S020.html,2026-06-19T03:17:25+00:00,bb2906793ab5bcbd5ceac28d742ab02f4890c40054e4c730aab581043451b49e,archived raw file
S021,Official news page,https://julianalps.utmb.world/news,Official update watchlist,context,low-medium,context/logistics/official,2026 updates watchlist,Event news watchlist.,No retained closure/surface item.,data/source-raw/S021.html,2026-06-19T03:17:27+00:00,326419fb2350c61a28a875e8ac84ed10b77fde9ab303a2536768c9023f7b683e,archived raw file
S022,OSM route-relation extraction attempt,https://overpass.kumi.systems/api/interpreter,Unresolved source attempt,unresolved_attempt,low,context/logistics/official,route relation attempt,Route relation query timed out/busy and is logged as unresolved.,Not counted as retained evidence.,data/osm-route-relations-overpass.json,2026-06-19T02:45:41+00:00,9e8d149c02b9ab7719f9e6cfdf696730c39abead6f27e39eb13793b7d2adbb82,archived raw file
